faiss_idx,item_id,source,title,authors,category,text
0,book_0,book,1632,Eric Flint,"Science Fiction, Speculative fiction, Novel","The fictional town of Grantville, West Virginia (modeled on the real West Virginia town of Mannington) and its power plant are displaced in space-time, through a side effect of a mysterious alien civilization. A hemispherical section of land about three miles in radius measured from the town center is transported back in time and space from April 2000 to May 1631, from North America to central Germany. The town is thrust into the middle of the Thirty Years' War, in the German province of Thuring"
1,book_1,book,Shadow,Kristine Kathryn Rusch,"Science Fiction, Speculative fiction","Section 31, an amoral, rogue branch of Starfleet, manages to affect the starship Voyager, lost on the other side of the galaxy. 'Seven', a new and trusted crewmember rescued from the Borg, is being targeted with a series of incidents. The crew, whom Janeway thought she trusted implicitly, is harboring a traitor."
2,book_2,book,Rahasia,Laura Hickman,Unknown,"In RPGA1 Rahasia, the heroes seek to save a kidnapped elven maid, and to do so they must enter the Temple of the Sacred Black Rock, break a curse, and capture the evil Rahib. In the revised module B7 Rahasia, the adventures must save a group of kidnapped elven women held in the dungeons beneath a good elven temple taken over by an evil cleric. An elven village is threatened by a dark Priest only known as the Rahib. He has kidnapped two of the village's fairest maidens and now demands that Rahasi"
3,book_3,book,Echo Burning,Lee Child,"Thriller, Mystery, Novel","In a Texas bar, Jack Reacher breaks a local police officer's nose and finger after being provoked, so when the officer and three of his colleagues turn up the following day to arrest him, Reacher decides it's time to move on. He manages to hitch a lift with a Californian of Mexican heritage named Carmen Greer, but she reveals to him that the only reason she picked him up is because she has a problem—her tax-evading husband Sloop is coming out of prison soon, and he will beat her up. Carmen needs"
4,book_4,book,Golem100,Alfred Bester,"Science Fiction, Speculative fiction","Taking place in a city of the future, a group of bored wealthy women begin dabbling in ancient satanic rituals, unaware that their rites are actually working. The beast of pure evil, Golem100, is raised each time the group practices their ritual, embarking on a rampage of rape, torture and murder. The demon is tracked through the physical and spirit worlds by Gretchen Nunn, a master of psychodynamics, Blaise Shima, a brilliant and famous chemist, and a clever local police officer, Subadar Ind'dn"
5,book_5,book,The Mausoleum Murder,Katherine Roberts,"Speculative fiction, Fantasy","In the beginning of the story, Alexis' home Halicarnassos is at war with Macedon. As the war rages on Alexis' stepmother still wants to make the pilgrimage to the river. Alexis has the gift to turn statues that have enough gold on them into real people. This gift gets him into trouble as his stepmother has the spirit of the old king who wants to reclaim his land. Alexis meets the princess and turns her fabled chimea to life and it rampages through the city attacking all who are known as their en"
6,book_6,book,The Wind Off the Small Isles,Unknown,Unknown,"Perdita works for children's writer Cora Gresham as secretary and personal assistant. Cora is writing about pirates on the Barbary Coast and wants to visit the Canary Islands. After hearing Perdita's description of the various islands, Cora decides on Lanzarote. Only two days after arriving there, Cora decides she wants to buy a house. While driving around the island they reach Playa Blanca and Cora sees just the house she is looking for. She sends Perdita to ask who owns it. Perdita, after gett"
7,book_7,book,Little Darlings,Jacqueline Wilson,Children's literature,"Destiny Williams wakes up on her eleventh birthday and receives a black outfit from her mum. Her biological father is the rock star Danny Kilman and her mum got them tickets to a movie premier in the hopes of Destiny meeting her real dad. Sunset Kilman, who lives with her rock star dad Danny Kilman, ex-model mum Suzy Kilman and two cuter and younger siblings with ridiculous names, attends the movie premier with her family. She's criticized by her mother Suzy, who she believes hates her. The movi"
8,book_8,book,Carpathian Castle,Jules Verne,"Science Fiction, Horror, Novel","In the village of Werst in the Carpathian mountains of Transylvania (then part of Austria-Hungary), some mysterious things are occurring and the villagers believe that Chort (the devil) occupies the castle. A visitor of the region, Count Franz de Télek, is intrigued by the stories and decides to go to the castle and investigate and finds that the owner of the castle is Baron Rodolphe de Gortz, one of his acquaintances, as years ago, they were rivals for the affections of the celebrated Italian p"
9,book_9,book,The Secret,K. A. Applegate,"Science Fiction, Speculative fiction, Novel","Cassie and the Animorphs discover from Ax and Tobias that the Yeerks have set up a dummy logging company, called Dapsen Logging Company, in the woods. The Yeerks want to destroy the forest in order to find the ""Andalite bandits,"" who they believe to be living there. The Animorphs go to check it out, but are discovered, chased away, and shot at. Cassie and her father later find an injured skunk, that was hit by a Dracon beam in the fighting. Cassie's father finds that there is a good chance that "
